HomeTeam,AwayTeam,HomeGoals,AwayGoals
CHE,ARS,3.27472,0.568077
LEI,WHU,2.94091,1.16254
TOT,NOR,2.22009,1.35596
MUN,BUR,1.31192,0.718541
WOL,LIV,1.83604,1.26452
WHU,LIV,0.875396,2.59921
LEI,CHE,1.55739,0.791731
BOU,AVL,2.72638,1.41635
CRY,SHU,0.959747,0.860675
LIV,SOU,3.6591,0.724678
NEW,NOR,0.929212,2.40453
WAT,EVE,0.884063,2.7014
WHU,BHA,1.30773,1.95164
MUN,WOL,0.835985,1.13738
BUR,ARS,2.24606,1.8932
TOT,MCI,0.419828,3.23498
